,Character,Value
0,Ross,0.20310026262053882
1,Joey,0.17611710236687303
2,Rachel,0.1634966473394488
3,Monica,0.15191135401080888
4,Chandler,0.14459954932887234
5,Phoebe,0.09382742524145565
6,Mike Hannigan,0.01410247241196335
7,Emily Waltham,0.013376060863095268
8,Ben Geller,0.012237797248109639
9,Carol Willick,0.011434206871394337
10,Michael,0.00928624551976547
11,Bob,0.007956656388223298
12,Ursula Buffay,0.007253871058135722
13,Judy Geller,0.006388236394050084
14,Emma Geller-Greene,0.006256349492711616
15,Robert,0.00620264590224107
16,Paul Stevens,0.0060115221032822
17,Russ,0.005988556686923882
18,Jack Geller,0.005927817608562765
19,Dan,0.005897238339649149
20,Unnamed Season 7 Characters,0.005865737717939483
21,Marcel,0.005470277137606681
22,Charlie Wheeler,0.005466560419145705
23,David,0.005356729680482355
24,Unnamed Season 1 Characters,0.005229138891571658
25,Don,0.004848752713345439
26,Nancy,0.004540078116467698
27,Tony,0.004332721296850375
28,Mark Robinson,0.00415480852625993
29,Jen,0.004135071231978438
